item,org,date,quantity
3959313,42023714,2016-08-01,6411.0
3959313,42023714,2016-09-01,5719.0
3959313,42023714,2016-10-01,6988.0
3959313,42023714,2016-11-01,6627.0
3959313,42023714,2016-12-01,12190.0
3959313,42023714,2017-01-01,3904.0
3959313,42023714,2017-02-01,5441.0
3959313,42023714,2017-03-01,5303.0
3959313,42023714,2017-04-01,4966.0
3959313,42023714,2017-05-01,4885.0
3959313,42023714,2017-06-01,4088.0
3959313,42023714,2017-07-01,4550.0
3959313,42023714,2017-08-01,5179.0
3959313,42023714,2017-09-01,3916.0
3959313,42023714,2017-10-01,4017.0
3959313,42023714,2017-11-01,4501.0
3959313,42023714,2017-12-01,4274.0
3959313,42023714,2018-01-01,3284.0
3959313,42023714,2018-02-01,3359.0
3959313,42023714,2018-03-01,3371.0
3959313,42023714,2018-04-01,5259.0
3959313,42023714,2018-05-01,3845.0
3959313,42023714,2018-06-01,4097.0
3959313,42023714,2018-07-01,5444.0
3959313,42023714,2018-08-01,4767.0
3959313,42023714,2018-09-01,3957.0
3959313,42023714,2018-10-01,5489.0
3959313,42023714,2018-11-01,4352.0
3959313,42023714,2018-12-01,6011.0
3959313,42023714,2019-01-01,3088.0
3959313,42023714,2019-02-01,3272.0
3959313,42023714,2019-03-01,3649.0
3959313,42023714,2019-04-01,3740.0
3959313,42023714,2019-05-01,3635.0
3959313,42023714,2019-06-01,3586.0
3959313,42023714,2019-07-01,5376.0
3959313,42023714,2019-08-01,3751.0
3959313,42023714,2019-09-01,3863.0
3959313,42023714,2019-10-01,4085.0
3959313,42023714,2019-11-01,2669.0
3959313,42023714,2019-12-01,2513.0
3959313,42023714,2020-01-01,3108.0
3959313,42023714,2020-02-01,3916.0
3959313,42023714,2020-03-01,4566.0
3959313,42023714,2020-04-01,2917.0
3959313,42023714,2020-05-01,3226.0
3959313,42023714,2020-06-01,4561.0
3959313,42023714,2020-07-01,3427.0
3959313,42023714,2020-08-01,3622.0
3959313,42023714,2020-09-01,3853.0
